draw_no,draw_date,first_prize
1,2025-12-10,"9532"
2,2025-12-07,"4523"
3,2025-12-06,"0209"
4,2025-12-03,"6782"
5,2025-11-30,"4126"
6,2025-11-29,"8121"
7,2025-11-26,"2943"
8,2025-11-23,"1056"
9,2025-11-22,"3147"
10,2025-11-19,"3166"
11,2025-11-16,"8368"
12,2025-11-15,"9518"
13,2025-11-12,"5990"
14,2025-11-09,"3745"
15,2025-11-08,"5005"
16,2025-11-05,"0242"
17,2025-11-02,"0218"
18,2025-11-01,"0005"
19,2025-10-29,"5301"
20,2025-10-28,"3026"
21,2025-10-25,"2995"
22,2025-10-22,"1550"
23,2025-10-19,"8029"
24,2025-10-18,"5919"
25,2025-10-15,"1265"
26,2025-10-12,"0139"
27,2025-10-11,"4658"
28,2025-10-08,"6903"
29,2025-10-05,"3754"
30,2025-10-04,"4361"
31,2025-10-01,"8510"
32,2025-09-28,"1587"
33,2025-09-27,"4058"
34,2025-09-24,"5430"
35,2025-09-21,"5387"
36,2025-09-20,"7298"
37,2025-09-17,"6350"
38,2025-09-14,"3117"
39,2025-09-13,"9060"
40,2025-09-10,"8583"
41,2025-09-07,"2847"
42,2025-09-06,"1507"
43,2025-09-03,"6783"
44,2025-08-31,"2915"
45,2025-08-30,"8761"
46,2025-08-27,"5578"
47,2025-08-24,"8403"
48,2025-08-23,"2146"
49,2025-08-20,"9520"
50,2025-08-17,"1380"
